Time(Iteration),CLCB_Attack
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,2
25,2
26,2
27,2
28,2
29,3
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,5
43,5
44,5
45,5
46,6
47,7
48,8
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,9
71,9
72,9
73,9
74,9
75,10
76,11
77,12
78,13
79,13
80,13
81,13
82,13
83,14
84,15
85,16
86,17
87,17
88,18
89,19
90,20
91,20
92,20
93,21
94,22
95,23
96,24
97,25
98,26
99,26
100,26
101,26
102,26
103,27
104,27
105,27
106,27
107,27
108,28
109,29
110,30
111,30
112,30
113,31
114,31
115,31
116,32
117,33
118,33
119,33
120,33
121,33
122,33
123,33
124,33
125,33
126,34
127,35
128,35
129,36
130,36
131,37
132,38
133,39
134,40
135,41
136,42
137,42
138,42
139,42
140,42
141,43
142,44
143,45
144,46
145,47
146,48
147,49
148,50
149,50
150,50
151,50
152,50
153,50
154,50
155,50
156,50
157,51
158,52
159,52
160,52
161,52
162,53
163,54
164,55
165,56
166,57
167,58
168,59
169,60
170,61
171,62
172,63
173,64
174,65
175,66
176,67
177,68
178,69
179,70
180,71
181,72
182,73
183,73
184,74
185,75
186,76
187,77
188,78
189,79
190,80
191,80
192,81
193,82
194,83
195,84
196,85
197,86
198,87
199,88
200,89
201,90
202,91
203,92
204,93
205,94
206,95
207,95
208,96
209,97
210,98
211,99
212,100
213,101
214,102
215,103
216,104
217,105
218,106
219,107
220,108
221,109
222,110
223,110
224,111
225,112
226,113
227,114
228,115
229,115
230,116
231,117
232,118
233,119
234,120
235,121
236,122
237,123
238,124
239,125
240,126
241,127
242,128
243,128
244,128
245,129
246,130
247,131
248,132
249,133
250,134
251,134
252,135
253,136
254,137
255,138
256,139
257,140
258,141
259,142
260,143
261,144
262,145
263,146
264,147
265,148
266,149
267,150
268,151
269,152
270,153
271,154
272,154
273,154
274,155
275,156
276,157
277,158
278,159
279,160
280,161
281,162
282,163
283,164
284,165
285,166
286,167
287,168
288,169
289,170
290,171
291,172
292,173
293,174
294,175
295,176
296,177
297,178
298,179
299,180
300,181
301,182
302,182
303,182
304,182
305,183
306,184
307,185
308,186
309,187
310,188
311,189
312,190
313,191
314,192
315,193
316,194
317,195
318,196
319,196
320,196
321,197
322,198
323,199
324,200
325,201
326,202
327,203
328,204
329,205
330,206
331,207
332,208
333,209
334,209
335,209
336,210
337,211
338,212
339,213
340,214
341,214
342,214
343,214
344,215
345,216
346,217
347,218
348,219
349,220
350,221
351,222
352,223
353,224
354,225
355,226
356,227
357,228
358,228
359,228
360,228
361,228
362,228
363,229
364,230
365,231
366,232
367,233
368,234
369,235
370,236
371,237
372,238
373,239
374,240
375,241
376,242
377,243
378,244
379,245
380,246
381,247
382,248
383,249
384,250
385,251
386,252
387,253
388,254
389,255
390,256
391,257
392,258
393,259
394,260
395,261
396,262
397,263
398,264
399,264
400,265
401,266
402,267
403,268
404,269
405,270
406,271
407,272
408,273
409,274
410,275
411,276
412,276
413,277
414,278
415,279
416,280
417,281
418,282
419,283
420,284
421,285
422,286
423,287
424,288
425,289
426,290
427,291
428,292
429,293
430,294
431,295
432,296
433,297
434,298
435,299
436,300
437,300
438,301
439,302
440,303
441,304
442,305
443,306
444,307
445,308
446,309
447,310
448,311
449,312
450,313
451,314
452,315
453,316
454,317
455,318
456,319
457,320
458,321
459,322
460,323
461,324
462,325
463,326
464,327
465,328
466,329
467,330
468,330
469,331
470,331
471,332
472,333
473,334
474,335
475,336
476,337
477,338
478,339
479,340
480,341
481,342
482,343
483,343
484,343
485,343
486,343
487,344
488,345
489,346
490,347
491,348
492,349
493,350
494,351
495,352
496,353
497,354
498,355
499,356
500,357
501,358
502,359
503,360
504,361
505,362
506,362
507,362
508,363
509,364
510,365
511,366
512,367
513,368
514,369
515,370
516,371
517,372
518,373
519,374
520,375
521,376
522,377
523,378
524,379
525,380
526,381
527,382
528,383
529,384
