Time(Iteration),CLCB_Attack
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,2
66,2
67,2
68,2
69,3
70,4
71,5
72,5
73,6
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,8
82,9
83,9
84,9
85,9
86,9
87,9
88,9
89,9
90,9
91,9
92,9
93,10
94,11
95,12
96,13
97,13
98,13
99,13
100,13
101,13
102,14
103,15
104,16
105,17
106,18
107,18
108,18
109,18
110,18
111,18
112,18
113,18
114,18
115,18
116,18
117,18
118,18
119,18
120,18
121,18
122,18
123,19
124,20
125,21
126,21
127,21
128,22
129,22
130,22
131,22
132,22
133,23
134,23
135,24
136,25
137,25
138,25
139,25
140,26
141,27
142,27
143,28
144,29
145,29
146,29
147,29
148,29
149,30
150,31
151,32
152,33
153,34
154,35
155,36
156,37
157,38
158,39
159,40
160,40
161,41
162,42
163,43
164,44
165,45
166,46
167,47
168,48
169,49
170,50
171,51
172,52
173,53
174,54
175,55
176,56
177,57
178,58
179,59
180,60
181,61
182,62
183,62
184,62
185,62
186,62
187,62
188,62
189,63
190,63
191,63
192,64
193,64
194,64
195,64
196,65
197,66
198,67
199,67
200,68
201,69
202,70
203,71
204,71
205,71
206,72
207,73
208,74
209,75
210,76
211,77
212,78
213,79
214,80
215,81
216,82
217,83
218,83
219,84
220,85
221,86
222,87
223,88
224,89
225,90
226,91
227,92
228,93
229,94
230,95
231,96
232,97
233,98
234,99
235,100
236,101
237,102
238,102
239,102
240,103
241,104
242,105
243,106
244,106
245,107
246,108
247,109
248,110
249,111
250,112
251,113
252,114
253,115
254,115
255,116
256,117
257,118
258,119
259,119
260,120
261,121
262,121
263,121
264,122
265,123
266,124
267,125
268,126
269,127
270,128
271,129
272,130
273,131
274,132
275,133
276,134
277,135
278,136
279,137
280,138
281,139
282,140
283,141
284,142
285,143
286,143
287,144
288,145
289,146
290,147
291,148
292,149
293,150
294,151
295,152
296,153
297,154
298,155
299,156
300,157
301,158
302,159
303,160
304,161
305,162
306,163
307,164
308,165
309,166
310,167
311,168
312,169
313,170
314,170
315,171
316,172
317,173
318,174
319,175
320,176
321,177
322,178
323,179
324,180
325,181
326,182
327,183
328,184
329,185
330,186
331,187
332,188
333,189
334,190
335,191
336,192
337,193
338,194
339,195
340,195
341,195
342,195
343,195
344,196
345,197
346,198
347,199
348,200
349,201
350,202
351,203
352,204
353,205
354,206
355,207
356,208
357,209
358,210
359,211
360,212
361,213
362,214
363,215
364,216
365,217
366,218
367,219
368,220
369,221
370,222
371,223
372,224
373,225
374,226
375,227
376,228
377,229
378,230
379,231
380,232
381,233
382,234
383,235
384,236
385,237
386,238
387,239
388,240
389,241
390,242
391,243
392,244
393,245
394,246
395,247
396,248
397,249
398,250
399,251
400,252
401,253
402,254
403,255
404,256
405,257
406,258
407,259
408,260
409,261
410,262
411,263
412,264
413,265
414,266
415,267
416,268
417,269
418,270
419,271
420,272
421,273
422,274
423,275
424,276
425,276
426,276
427,276
428,276
429,277
430,278
431,279
432,280
433,281
434,282
435,283
436,284
437,285
438,286
439,287
440,288
441,289
442,290
443,291
444,292
445,293
446,294
447,295
448,296
449,297
450,298
451,299
452,300
453,301
454,302
455,303
456,304
457,305
458,306
459,307
460,308
461,309
462,310
463,311
464,312
465,313
466,314
467,315
468,316
469,317
470,318
471,319
472,320
473,321
474,322
475,323
476,324
477,325
478,326
479,327
480,328
481,329
482,330
483,331
484,332
485,333
486,334
487,335
488,336
489,337
490,338
491,339
492,340
493,341
494,342
495,343
496,344
497,344
498,344
499,344
500,344
501,345
502,346
503,347
504,348
505,349
506,350
507,351
508,352
509,353
510,354
511,355
512,356
513,357
514,358
515,359
516,360
517,361
518,362
519,363
520,364
521,365
522,366
523,367
524,368
525,369
526,370
527,371
528,372
529,373
