Time(Iteration),CLCB_Attack
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,1
55,1
56,2
57,3
58,3
59,3
60,4
61,5
62,5
63,6
64,7
65,8
66,9
67,10
68,11
69,11
70,11
71,11
72,11
73,11
74,11
75,11
76,12
77,13
78,13
79,14
80,15
81,16
82,17
83,17
84,17
85,17
86,17
87,17
88,17
89,17
90,17
91,17
92,17
93,17
94,17
95,18
96,19
97,20
98,20
99,21
100,21
101,21
102,21
103,22
104,23
105,24
106,24
107,25
108,25
109,25
110,25
111,25
112,25
113,25
114,25
115,25
116,25
117,25
118,25
119,25
120,25
121,25
122,26
123,27
124,28
125,29
126,30
127,31
128,31
129,32
130,33
131,34
132,35
133,36
134,37
135,38
136,39
137,40
138,40
139,41
140,41
141,41
142,42
143,43
144,44
145,45
146,45
147,46
148,47
149,48
150,49
151,50
152,51
153,51
154,52
155,53
156,54
157,55
158,55
159,55
160,56
161,57
162,58
163,59
164,60
165,61
166,61
167,61
168,61
169,62
170,63
171,64
172,65
173,66
174,66
175,66
176,67
177,68
178,69
179,70
180,71
181,72
182,73
183,74
184,75
185,76
186,77
187,78
188,78
189,79
190,80
191,81
192,81
193,82
194,83
195,84
196,85
197,86
198,87
199,88
200,89
201,90
202,91
203,92
204,93
205,94
206,95
207,96
208,96
209,97
210,98
211,99
212,100
213,101
214,102
215,103
216,104
217,105
218,106
219,107
220,108
221,109
222,110
223,111
224,112
225,113
226,114
227,115
228,115
229,116
230,117
231,118
232,119
233,120
234,121
235,122
236,123
237,124
238,125
239,126
240,126
241,127
242,128
243,129
244,130
245,131
246,132
247,133
248,134
249,135
250,136
251,136
252,136
253,136
254,136
255,136
256,137
257,138
258,139
259,140
260,141
261,142
262,143
263,144
264,145
265,146
266,147
267,148
268,149
269,150
270,151
271,152
272,153
273,154
274,155
275,156
276,157
277,158
278,159
279,160
280,161
281,161
282,161
283,161
284,162
285,163
286,164
287,165
288,166
289,167
290,168
291,169
292,169
293,169
294,169
295,169
296,170
297,171
298,172
299,173
300,174
301,175
302,176
303,177
304,178
305,179
306,180
307,181
308,182
309,183
310,184
311,185
312,186
313,187
314,187
315,187
316,188
317,189
318,190
319,191
320,192
321,193
322,194
323,195
324,196
325,197
326,198
327,199
328,200
329,201
330,202
331,203
332,204
333,205
334,206
335,207
336,208
337,209
338,210
339,211
340,212
341,213
342,214
343,215
344,216
345,217
346,218
347,219
348,220
349,221
350,222
351,223
352,224
353,225
354,225
355,225
356,225
357,225
358,225
359,226
360,226
361,226
362,227
363,228
364,229
365,230
366,231
367,232
368,233
369,234
370,235
371,236
372,237
373,238
374,239
375,240
376,241
377,242
378,243
379,244
380,245
381,246
382,247
383,248
384,249
385,249
386,249
387,249
388,250
389,251
390,252
391,253
392,254
393,255
394,256
395,257
396,258
397,259
398,260
399,261
400,262
401,263
402,264
403,265
404,266
405,267
406,268
407,269
408,270
409,271
410,272
411,273
412,274
413,275
414,276
415,277
416,278
417,279
418,280
419,281
420,282
421,283
422,284
423,285
424,286
425,287
426,288
427,289
428,290
429,291
430,292
431,293
432,294
433,295
434,296
435,297
436,298
437,299
438,299
439,299
440,299
441,299
442,300
443,301
444,302
445,303
446,304
447,305
448,306
449,307
450,308
451,309
452,310
453,311
454,312
455,313
456,314
457,315
458,316
459,317
460,318
461,319
462,320
463,321
464,322
465,323
466,324
467,325
468,326
469,327
470,328
471,329
472,330
473,331
474,332
475,333
476,334
477,335
478,336
479,337
480,338
481,339
482,340
483,341
484,342
485,343
486,344
487,345
488,346
489,346
490,347
491,348
492,349
493,350
494,351
495,352
496,353
497,354
498,355
499,356
500,357
501,358
502,359
503,360
504,361
505,362
506,363
507,364
508,365
509,366
510,367
511,368
512,369
513,370
514,370
515,371
516,372
517,373
518,374
519,375
520,376
521,376
522,376
523,376
524,377
525,378
526,379
527,380
528,381
529,382
