Time(Iteration),CascadeUCB-V-Attack,CascadeUCB1-Attack,CascadeKLUCB-Attack
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,1
22,0,0,1
23,0,0,1
24,0,1,1
25,0,1,1
26,0,1,1
27,0,1,1
28,0,1,1
29,0,1,1
30,0,1,1
31,0,1,1
32,0,1,1
33,0,1,1
34,0,1,1
35,0,1,1
36,0,1,1
37,0,1,1
38,0,1,1
39,0,1,1
40,0,1,1
41,0,1,1
42,0,1,1
43,0,1,1
44,0,1,1
45,0,1,1
46,0,1,1
47,0,1,1
48,0,1,1
49,0,1,1
50,0,1,1
51,0,1,1
52,0,1,1
53,0,1,1
54,0,1,1
55,0,1,1
56,0,1,1
57,0,1,1
58,0,1,1
59,0,1,1
60,0,1,1
61,0,1,1
62,0,1,1
63,0,1,1
64,0,1,1
65,0,1,2
66,0,1,2
67,0,1,2
68,0,1,2
69,0,1,2
70,0,1,2
71,0,1,2
72,0,1,2
73,0,1,2
74,0,1,2
75,0,1,2
76,0,1,2
77,0,1,2
78,0,1,2
79,0,1,2
80,0,1,2
81,0,1,2
82,0,1,2
83,0,1,2
84,0,1,2
85,0,1,2
86,0,1,2
87,0,1,2
88,0,1,2
89,0,1,2
90,0,1,2
91,0,1,2
92,0,1,2
93,0,1,2
94,0,1,2
95,0,1,2
96,0,1,2
97,0,1,2
98,1,1,2
99,2,1,2
100,3,1,2
101,4,1,2
102,5,1,2
103,6,1,2
104,7,1,2
105,8,1,2
106,8,1,2
107,8,1,2
108,8,1,2
109,8,1,2
110,9,1,2
111,10,1,2
112,10,1,2
113,10,1,2
114,10,1,2
115,10,1,2
116,10,1,2
117,10,1,2
118,10,1,2
119,10,1,2
120,10,1,2
121,10,1,2
122,10,1,2
123,10,1,2
124,10,1,2
125,10,1,2
126,10,1,2
127,10,1,2
128,10,1,2
129,10,1,2
130,10,1,2
131,10,1,2
132,10,1,2
133,10,1,2
134,10,1,2
135,10,1,2
136,10,1,2
137,10,1,2
138,10,1,2
139,10,1,2
140,10,1,2
141,10,1,2
142,10,1,2
143,10,1,2
144,10,1,2
145,10,1,2
146,10,1,2
147,10,1,2
148,10,1,2
149,10,1,2
150,10,1,2
151,10,1,2
152,10,1,2
153,10,1,2
154,10,1,2
155,10,1,2
156,10,1,2
157,10,1,2
158,10,1,2
159,10,1,2
160,10,1,2
161,10,1,2
162,10,1,2
163,10,1,2
164,10,1,2
165,10,1,2
166,10,1,2
167,10,1,2
168,10,1,2
169,10,1,2
170,10,1,2
171,10,1,2
172,10,1,2
173,10,1,2
174,10,1,2
175,10,1,2
176,10,1,2
177,10,1,2
178,10,1,2
179,10,1,2
180,10,1,2
181,10,1,2
182,10,1,3
183,10,1,3
184,10,1,3
185,10,1,3
186,10,1,3
187,10,1,3
188,10,1,3
189,10,1,3
190,10,1,3
191,10,1,3
192,10,1,3
193,10,1,3
194,10,1,3
195,10,1,3
196,10,1,3
197,10,1,3
198,10,1,3
199,10,1,3
200,10,1,3
201,10,1,3
202,10,1,3
203,10,1,3
204,10,1,3
205,10,1,3
206,10,1,3
207,10,1,3
208,10,1,3
209,10,1,3
210,10,1,3
211,10,1,3
212,10,1,3
213,10,1,3
214,10,1,3
215,10,1,3
216,10,1,3
217,10,1,3
218,10,1,3
219,10,1,3
220,10,1,3
221,10,1,3
222,10,1,3
223,10,1,3
224,10,1,3
225,10,1,3
226,10,1,3
227,10,1,3
228,10,1,3
